it,loss,R,rmean,rvar,cx,cy,cp,cq
115,1.1975235667775819,1.1975233893284933,0.9377780757884945,0.026334456527897582,-0.0046220109600847836,-0.012240478037168993,-0.00117170671389738,0.001871794853782158
116,1.199614098129531,1.199612714551612,0.9356872072294931,0.025190997012220984,-0.007126831581144795,-0.031141254788929235,0.010764784653670655,-0.01567515651664733
117,1.1971399852946438,1.197138948183245,0.9416674879487115,0.02526656395073726,-0.006270478483926278,-0.026368416352584044,0.006461818894152192,-0.016102640786663906
118,1.1986147890497125,1.1986130705703912,0.9370922174779048,0.02509963592666306,-0.0008114087652271943,-0.03836330468157703,-0.004319729251179394,-0.015031344222398454
119,1.1955217828987883,1.195521280293355,0.938270407285025,0.025512592439282437,-0.005916481666708743,-0.021237670784635086,-0.0029872528802951047,0.0024764632771298264
120,1.1957637764803306,1.1957635835470184,0.9379624597554106,0.025578005769896862,-0.003530447624156295,-0.010841581741953226,-0.004507702288492893,-0.006408716833718509
121,1.1954663153026168,1.1954659910249557,0.9371818681416934,0.025664399136002675,-0.0024531211089619848,-0.015754605526256443,-0.003974220243222116,0.007258362115246418
122,1.1957868416918875,1.195785994975425,0.9413165941964023,0.025357507980327643,-0.007122599406379019,-0.026240052176789277,-0.010282866109341387,0.0003009248973353339
123,1.1966999486127596,1.1966995666100857,0.9396373364609365,0.02522764864925955,0.0018064010318926194,-0.018870725997278986,-0.0009387269645129497,0.0044819793062421676
124,1.1989595369587225,1.198958938837118,0.9420312928489031,0.025160343415543258,-0.0020162185711135408,-0.0160934517060517,0.01581562931323916,0.0091216178241774
125,1.1986327872113947,1.198632717087643,0.9381881295454584,0.025445547830255467,0.002488888949018398,-0.006522187760649642,-0.0013234050973842198,0.004227947307471693
126,1.2010810652677817,1.201080536205826,0.9371492838744043,0.02531050859148104,-0.009578930801046832,-0.00965684390583358,-0.0036373318206375784,0.018138648049080174
127,1.2040738579340484,1.204073054333437,0.940943443871106,0.02544505000964016,-0.010681036139212742,-0.011969753617564829,0.017921081903376036,0.014940397855998204
128,1.2046826208696055,1.2046816307050687,0.9388043390741507,0.02518468736192841,-0.00881918209668845,-0.023384268841621054,0.013730706281703474,0.013233078002708714
129,1.204784907504338,1.2047844012307058,0.9442900155221055,0.025532993532877774,-0.0010950422161232608,-0.015894664806615874,-0.0007559407408196676,0.015807930291583897
130,1.201708377917982,1.201707481413913,0.936715281496971,0.02595022153212359,-0.018818566900883297,-0.006079662929527122,0.004308370825963779,0.022018382327682103
131,1.2064274126887027,1.2064266052136938,0.941037322097702,0.02570881979492027,-0.021388764847821182,-0.008793452569582152,-0.003971941215840053,0.015962430686251826
132,1.2111921482993981,1.2111908204741544,0.9392030811639558,0.025602929704224883,-0.023700103057854676,-0.0172933014625863,-0.0052501046837831735,0.020912903489287808
133,1.2147955378928,1.21479447949225,0.9374276221515648,0.025994581074954785,-0.021410478895658683,-0.021709546962230188,-0.011127065521131812,-0.0016294340662770738
134,1.2200041140702915,1.2200023995395755,0.9390232462034876,0.025548817502896583,-0.022015235972793108,-0.03403865322664206,-0.006507390538085296,0.0051577684289021075
135,1.2227239275948885,1.2227230517772203,0.9396872374580321,0.025436699016767202,-0.018468818436492406,-0.017977118126857126,-0.005883970468288636,0.013212874530961446
136,1.2227364385552915,1.2227355964484148,0.938570456465307,0.025638887960904785,-0.019273369750916876,-0.014343919679618613,-0.008935939851769123,0.013514513162442048
137,1.2213675439283698,1.2213661572156511,0.9410633619067852,0.026233203587311404,-0.027090104027575838,-0.01054984385694546,-0.020630097789886587,0.010652475524293494
138,1.2180902092574435,1.2180896048243721,0.9394293899386995,0.026281447293169512,-0.022086899767319135,-0.010477381050390018,-0.0012302235964297026,0.0016692764870096385
139,1.2177850093334128,1.2177841341812015,0.9412647786629192,0.02589780733159417,-0.021160823084122322,-0.007570147687569123,-0.01546095159449264,0.011332865844653246
140,1.216365492440221,1.2163650491834135,0.9336718800616294,0.026606195869467154,-0.005206870911061136,-0.0006025946741820902,-0.018189055128882105,0.009071243862828557
141,1.2195639986299645,1.2195630130994584,0.9415431759645693,0.025543267158358664,-0.019687674338406017,-0.0034848393728629202,-0.022712856704209167,0.008197056949588163
142,1.223219995615819,1.2232193519926204,0.9427454827504013,0.026752271351780613,-0.006052090785169298,0.003316324526277827,-0.023007445527615866,0.007992536890917239
143,1.2271550706117778,1.2271543879953994,0.9395629406676343,0.026567858597087175,-0.01720384864935386,0.006470381924307479,-0.017528077647668762,0.005892042805318785
144,1.235480327803894,1.235480111542603,0.9419241260441573,0.026356156358514408,-0.0029254871845215196,0.012999251334367353,1.7965288030747929e-06,0.0059864106813101925
145,1.2465684060866495,1.2465679341463232,0.940452217937222,0.026613154796979552,-0.010133987817009863,0.002399063694060312,0.0021393992364391753,0.018867037394867878
146,1.2571461876479715,1.2571456471715539,0.9391258327218079,0.026829262831050717,-0.008065189481069638,0.006747218970136734,0.004504879392409727,0.02016442300523348
147,1.2611171138897117,1.2611160176083993,0.9432504447439002,0.027138776878266078,-0.005889117287420959,-0.006468025749812189,0.010462528587639472,0.030120278201064537
148,1.2582273987286787,1.2582267987082514,0.9407966152134095,0.02713690611144484,-0.01792772435724214,0.002256740104772658,0.007487029072145865,0.014640033112257663
149,1.2486932425983723,1.2486923134862726,0.9448404634977017,0.02682205848381192,-0.019729019922256688,0.0030731861329412143,0.017671100123741852,0.014661049187851664
150,1.2506590130768405,1.250658353744982,0.9480827233323198,0.026735819986987982,-0.017251015303975086,0.0024665759358812873,-0.0011696503062095934,0.018734159640281207
151,1.250329195207304,1.25032792651308,0.9422703228055432,0.02733528540934982,-0.028715633043663275,-0.016803014523866164,0.009250046506962735,0.008532172297963382
152,1.245905767945282,1.2459041311214114,0.9441852198641424,0.027678697061222224,-0.030075161286174573,-0.02681386178099955,0.0016622609567103937,0.0026589293275841495
153,1.2423174818072946,1.2423164089078862,0.9431574357767467,0.027336706720336845,-0.02246070011716256,-0.0170733661935293,0.012635077946512351,0.010662659565306072
154,1.23635716960125,1.23635520305841,0.9479118887768544,0.02657166884495538,-0.0379706017621999,-0.02041178140007243,0.008709539707028476,-0.005349118685624729
155,1.232511174431886,1.232510222504165,0.9414810292389056,0.02758930635698551,-0.02485083160325242,-0.013947545809221126,0.01091391959989034,-0.004118455748269549
156,1.2290581819201416,1.2290573040017867,0.9469151649633557,0.027471217323836603,-0.024448827256111447,-0.007780415141110782,0.014288631463308625,-0.003410174301500824
157,1.2307940051535071,1.230793309636578,0.9464537230947299,0.027210927734065176,-0.01798118648403393,-0.007296160484459506,0.005804695126653966,-0.016773002405850515
158,1.2272194939989367,1.2272185614590843,0.9412207067151102,0.027535812402384945,-0.016223496144428546,-0.02429433899638849,-0.002288405705197565,-0.008360536470752957
159,1.2213065268959487,1.2213057474282891,0.9469527750522849,0.026595104202907435,-0.018971505888899363,-0.014687690785748962,0.005357871548710911,-0.013079415154651632
160,1.219011723984567,1.2190111174875133,0.9432429750427703,0.027246586522387744,-0.02184376889544444,0.00017963626299644632,0.01115830176861254,-0.0008329961785746391
161,1.2170123497416951,1.2170114674603163,0.9388204331782777,0.02653783149931065,-0.01445705131994843,-0.025716547847267256,0.0027593532213876894,-0.0003479864521603654
